Program Name, Asserts Before, Asserts After, Asserts Removed, Removal Percentage
RingBufferAuto.dfy, FAILED
Ackermann.dfy, 1, 1, 0, 0%
ACL2-extractor.dfy, 4, 0, 4, 100%
auto-triggers-fix-an-issue-listed-in-the-ironclad-notebook.dfy, 1, 0, 1, 100%
b1.dfy, 0, 0, 0, NaN%
b2.dfy, 0, 0, 0, NaN%
b5.dfy, 10, 0, 10, 100%
b6.dfy, 1, 0, 1, 100%
b7.dfy, 0, 0, 0, NaN%
BinaryTree.dfy, 4, 0, 4, 100%
Bug100.dfy, 1, 1, 0, 0%
Bug103.dfy, 0, 0, 0, NaN%
Bug104.dfy, 0, 0, 0, NaN%
Bug107.dfy, 0, 0, 0, NaN%
Bug108.dfy, 0, 0, 0, NaN%
Bug110.dfy, 0, 0, 0, NaN%
Bug111.dfy, 0, 0, 0, NaN%
Bug113.dfy, 0, 0, 0, NaN%
Bug116.dfy, 0, 0, 0, NaN%
Bug118.dfy, 0, 0, 0, NaN%
Bug120.dfy, 1, 0, 1, 100%
Bug121.dfy, 0, 0, 0, NaN%
Bug122.dfy, 0, 0, 0, NaN%
Bug124.dfy, 0, 0, 0, NaN%
Bug128.dfy, 0, 0, 0, NaN%
Bug129.dfy, 0, 0, 0, NaN%
Bug133.dfy, 0, 0, 0, NaN%
Bug136.dfy, 1, 0, 1, 100%
Bug138.dfy, 0, 0, 0, NaN%
Bug139.dfy, 0, 0, 0, NaN%
Bug140.dfy, 0, 0, 0, NaN%
Bug142.dfy, 0, 0, 0, NaN%
Bug144.dfy, 3, 0, 3, 100%
Bug148.dfy, 0, 0, 0, NaN%
Bug155.dfy, 0, 0, 0, NaN%
Bug159.dfy, 0, 0, 0, NaN%
Bug161.dfy, 1, 0, 1, 100%
Bug162.dfy, 0, 0, 0, NaN%
Bug49.dfy, 4, 0, 4, 100%
Bug54.dfy, 0, 0, 0, NaN%
Bug55.dfy, 0, 0, 0, NaN%
Bug56.dfy, 0, 0, 0, NaN%
Bug58.dfy, 1, 0, 1, 100%
Bug62.dfy, 0, 0, 0, NaN%
